Review_ID,Project_ID,Reviewer_ID,Scheduled_Date,Status,Completion_Date
R001,P017,U010,2024-08-13,Missed,
R002,P013,U009,2024-09-15,Completed,2024-09-16
R003,P002,U010,2025-02-28,Completed,2025-03-01
R004,P013,U004,2025-01-04,Completed,2025-01-06
R005,P014,U002,2024-12-12,Completed,2024-12-12
R006,P017,U010,2024-09-09,Completed,2024-09-11
R007,P013,U006,2025-03-06,Missed,
R008,P019,U010,2024-08-21,Completed,2024-08-22
R009,P009,U001,2024-12-12,Completed,2024-12-14
R010,P014,U002,2024-10-06,Completed,2024-10-08
R011,P023,U002,2024-10-21,Completed,2024-10-21
R012,P007,U006,2024-12-04,Completed,2024-12-05
R013,P021,U007,2025-01-25,Completed,2025-01-27
R014,P018,U003,2024-09-06,Rescheduled,
R015,P012,U004,2024-11-22,Completed,2024-11-24
R016,P006,U008,2024-09-09,Completed,2024-09-10
R017,P027,U010,2024-09-04,Missed,
R018,P028,U006,2024-08-14,Completed,2024-08-16
R019,P030,U010,2024-08-24,Completed,2024-08-25
R020,P018,U005,2025-02-14,Completed,2025-02-16
R021,P016,U006,2024-10-18,Completed,2024-10-20
R022,P026,U005,2024-07-23,Completed,2024-07-23
R023,P017,U010,2024-08-04,Completed,2024-08-05
R024,P014,U002,2024-10-20,Completed,2024-10-20
R025,P018,U009,2024-10-01,Completed,2024-10-02
R026,P002,U010,2025-01-13,Completed,2025-01-14
R027,P027,U010,2024-09-20,Completed,2024-09-21
R028,P024,U004,2025-03-07,Missed,
R029,P029,U002,2024-09-21,Completed,2024-09-23
R030,P025,U008,2024-09-27,Completed,2024-09-27
